case_id,issue_id,requirement_ids,given,when,then,contract,decision_status,execution_status
AT-REV18-001,REV18-001,FR-C01;FR-T03;FR-A01;FR-X03;FR-X05,Immediately after reset (simulator enabled=true); latest unit-online-rto power observed00:59:30Z; clock=01:00:00Z,Let real time reach01:03:00Z. Separately repeat after simulator enabled=false,"With enabled=true, copy Measurements at 01:01/01:02/01:03 minute boundaries; effectivePowerState stays on. With false, unknown after 01:01:30Z. Generate none for offline unit-offline-rto. advanceClock(+24h) does not fill intermediate minutes",02-design/review-resolution-contracts.md#ir45-synthetic-telemetry-and-heartbeat-generation--rev18-001,proposed,not_run
AT-REV18-002,REV18-002,FR-C03;FR-C12;FR-A09;FR-A10;FR-T10;FR-X02,unit-limited with applied temperature_limit m=24; separate power_off applied unit,Request every UnitAction through client/HQ(control.execute)/technician/voice/automation/diagnosticRun,temperature_limit:23 gives FORBIDDEN(errors.restriction_active);24 and set_power/set_mode/set_fan/ventilate accepted. power_off: only set_power false accepted; others FORBIDDEN; automation suppressed/restricted; run end gives end_blocked. HQ override permission does not change commands.create results,02-design/review-resolution-contracts.md#ir46-allowed-operations-during-restrictions--rev18-002,proposed,not_run
AT-REV18-003,REV18-003,FR-C03;FR-T10;FR-T12;FR-X03;FR-A01,Current binding from device-online-rto to unit-online-rto,demo.trigger communication_lost→commands.create→restored(axis=connection)→power_lost→commands.create→restored(axis=power)→tamper→commands.create,"After communication_lost: Unit.connection=offline, OFFLINE(errors.device_offline); restored(connection):online; power_lost:OFFLINE(errors.device_power_lost). Tamper alone after restored(power) allows Command with warning (SR20/IR47/IR102). Each Device change increments Unit.version. Unbound Unit connection=unknown",02-design/review-resolution-contracts.md#ir47-derive-equipment-connection-power-and-removal-states--rev18-003,proposed,not_run
AT-REV18-004,REV18-004,FR-P02;FR-A06;FR-P01,HQ offers job-internal-a to contractor-a with offerExpiresAt=clock+1h,Advance to offerExpiresAt without contractor response→HQ offers again to same contractor,"At expiry Job=requested, contractorOrgId=null, one offer_expired JobEvent, zero notifications, removed from contractor list. Late accept gives CONFLICT; new offerId succeeds; offer from a state other than requested gives CONFLICT",02-design/review-resolution-contracts.md#ir48-unanswered-offer-expiry--rev18-004,proposed,not_run
AT-REV18-005,REV18-005,FR-T01;FR-T08;FR-T10;FR-P03,"contractor-a assigns tech-external-a (createdAt=01:00Z, scheduledStart=02:00Z, scheduledEnd=04:00Z)","At 01:30Z, technician opens /technician and calls jobs.get, units.get(jobId), jobs.start; at 02:00Z calls jobs.start",At 01:30Z list/detail readable and included in assignedCount; units.get/jobs.start give FORBIDDEN(errors.assignment_not_started) with start time. At 02:00Z start succeeds. At/after 04:00Z history only,02-design/review-resolution-contracts.md#ir49-technician-job-viewing-and-work-windows--rev18-005,proposed,not_run
AT-REV18-006,REV18-006,FR-C01;FR-A01;FR-C02;FR-A02;NFR-05,customer-a at /customer?propertyId=property-home-a&period=today; hq-operator at /admin,Click running KPI→Back; separately open URL with disallowed foo=1,Customer goes to /customer/properties?powerState=on&propertyId=property-home-a without period; HQ goes to /admin/units?customerId=…&powerState=on. Back restores period. Remove foo and render normally. Normalize unitIds/connections in ASCII ascending order,02-design/review-resolution-contracts.md#ir50-kpi-list-links-and-allowed-url-keys--rev18-006,specified,not_run
AT-REV18-007,REV18-007,FR-C01;FR-C08;FR-A01,"Patch seed alert-window-a to resolved; add open critical, acknowledged warning, and open normal to unit-online-rto with distinct type/causeCode","Fetch summaries.get(kind=customer), admin.summary, units.list","alertCount=2, activeAlertCount=2, excluding normal/resolved. JobSummary.severity=critical. Unread notification count is separate",02-design/review-resolution-contracts.md#ir51-population-for-unresolved-alert-counts--rev18-007,proposed,not_run
AT-REV18-008,REV18-008,FR-C05,"customer-a pattern condition localTime=18:00/timezone=Asia/Kuala_Lumpur/action=set_temperature25, enabled=true",Clock→2026-09-14T09:59:59Z→10:00:00Z→jump past same time next day→simulate(occurredAt=10:00:30Z),"One Command at 10:00:00Z, once daily; jumping past creates none; landing exactly on matching time creates one. simulate gives no_match; label as fixed-time demo",02-design/review-resolution-contracts.md#ir52-lifestyle-pattern-condition-evaluation--rev18-008,proposed,not_run
AT-REV18-009,REV18-009,FR-C05,Location consent granted; location and occupancy rules enabled,consents.update(granted=false)→automations.list→consents.update(granted=true)→arrival,Only location rule becomes enabled=false/disabledReason=consent_revoked/version+1; occupancy unchanged. New consent leaves disabled; arrival creates zero Commands. Explicit save(enabled=true) sets disabledReason=null,02-design/review-resolution-contracts.md#ir53-consent-withdrawal-and-rule-state--rev18-009,proposed,not_run
AT-REV18-010,REV18-010,FR-C04;FR-A11,Save customer-a schedule starting Monday18:00; remain logged in as HQ,Advance to Monday18:00 KL; separately also call UI automations.fire(phase=schedule_start) in same tick,One Command even with customer screen closed; extra UI fire returns same tick result with still one Command,02-design/review-resolution-contracts.md#ir54-schedule-and-lifestyle-pattern-firing-paths--rev18-010,specified,not_run
