case_id,issue_id,requirement_ids,given,when,then,contract,decision_status,execution_status
AT-G120-001,G1-001,FR-T07;FR-T11;FR-T12;FR-X04,"tech-internal-a within unit scope. ①With acceptancePatches[""AT-T12-N""] ②Without patch (no own Assignment on unit-non-rto) ③communication_lost on device bound using acceptancePatches[""AT-T11-N""]",①②devices.addResponseNote(device-tamper) ③devices.updateFirmware with jobId=job-t11,"①Success ②FORBIDDEN(errors.assignment_required) ③DomainError OFFLINE, zero DeviceOperations. Interpret catalog qualifiers only through IR94 table",02-design/review-resolution-contracts.md#ir94-authorization-column-qualifiers-and-technician-write-conditions--g1-001--g1-026--g1-030,proposed,not_run
AT-G120-002,G1-002,FR-P03;FR-C09;FR-A06;FR-X07,job-internal-a accepted in AT-P02-N; tech-external-a,contractor-a assigns tech-external-a (AT-P03-N),"One schedule_change notification each to tech-external-a/customer-a/hq-operator/hq-restriction-manager (severity=normal,inApp,simulated); none to actor contractor-a. Canonical enum includes job_update/device_operation",02-design/review-resolution-contracts.md#ir95-business-event-notifications--g1-002,proposed,not_run
AT-G120-003,G1-003,FR-A10;FR-C12,hq-restriction-manager. ①Scheduled Restriction from AT-C12-N ②Requested after execute ③restriction-limited-a release_requested after AT-C11-N payment confirmation ④Released from AT-C12-B⑤,restrictions.cancel with reason,"①cancelled, zero Commands ②release_requested, releaseIntent.source=cancel ③Same Restriction/version unchanged ④CONFLICT. Override-only user sees reconcile/retry only for source=override or unresolved recoveryCases",02-design/review-resolution-contracts.md#ir96-restriction-cancellation--g1-003-and-g1-013,proposed,not_run
AT-G120-004,G1-004,FR-C06;FR-A13;FR-A14,"acceptancePatches[""AT-C06-E.3""] (two units ×60kW)","energy.summary(query unitIds=[unit-non-rto,unit-online-rto],baseline-energy-100-two-units)","kWh=120.0, savedKWh=-20.0, savingPercentage=-20.0. All measured/valid values within D07 ranges; validator checks every patch",02-design/review-resolution-contracts.md#ir97-acceptance-fixture-invariants-and-input-objects--g1-004g1-005g1-009g1-011g1-019g1-031,specified,not_run
AT-G120-005,G1-005,FR-A12,"acceptancePatches[""AT-A12-N""] (sensor-tamper-co2 on device-tamper)",Save input→start with evaluation→observe59/60 seconds through ordinary one-second flow ticks→get same-tick result through finalEvaluation (IR103),"Through 59 seconds:zero Policy Alerts/notifications/Commands. At 60 seconds:two Alerts/two notifications, one ventilation Command for supported Unit. Supported Unit requested; unsupported Unit suppressed/invalid_capability. Same-tick lookup creates no duplicates",02-design/review-resolution-contracts.md#ir97-acceptance-fixture-invariants-and-input-objects--g1-004g1-005g1-009g1-011g1-019g1-031,specified,not_run
AT-G120-006,G1-006,FR-C07;FR-A12,"Seed allergenObservations and acceptancePatches[""AT-C07-SRC.4""]","Fetch telemetry.series for unit-online-rto/unit-non-rto/unit-limited, then patched unit-online-rto","①available ②unsupported with other fields null ③not_measured ④value12/unit=null, display ""Unknown"". DemoTrigger includes allergen/load_alert",02-design/review-resolution-contracts.md#ir98-demo-data-for-allergen-observations-and-possible-cause-alerts--g1-006-and-g1-027,proposed,not_run
AT-G120-007,G1-007,FR-C07,unit-online-rto co2/pm25:①999/12 ②1000/12 ③800/35 ④null/null,Display C07,"①""No current guidance"" ②""Ventilation recommended"" with request button ③""Filter cleaning/inspection recommended"" ④""Not enough data to provide guidance"". Guidance creates no Commands",02-design/review-resolution-contracts.md#ir99-air-quality-guidance-display--g1-007,proposed,not_run
AT-G120-008,G1-008,FR-T04;FR-T05;FR-T06;FR-T08;FR-T09,tech-external-a starts job-contractor-a,"saveDraft→submit with acceptancePatches[""shared:report-draft-all-normal""].input; separately submit missing one component","Input for all 18 components submits successfully; omission gives VALIDATION(fieldErrors.items), no submitted transition",02-design/review-resolution-contracts.md#ir100-inspection-component-sets-and-submission-validation--g1-008,proposed,not_run
AT-G120-009,G1-009,FR-A05;FR-A11;FR-A12,"acceptancePatches[""AT-A05-N""], [""AT-A11-N""], [""AT-A12-N""]",Save each input,Complete input including enabled=true saves; UI/Repository do not fill missing values. AT-A05-N trigger plus60 seconds creates one Alert and one simulated Notification to customer-a,02-design/review-resolution-contracts.md#ir97-acceptance-fixture-invariants-and-input-objects--g1-004g1-005g1-009g1-011g1-019g1-031,specified,not_run
AT-G120-010,G1-010,FR-C04,Clock remains seed2026-09-14T01:00Z; timezone=America/New_York,"Save weekly Sunday02:30/Sunday01:30 rules (AT-C04-E③,AT-FIX-019)",Both VALIDATION under D09 366-day check/D01 rank7; can evaluate within Membership validity,02-design/review-resolution-contracts.md#ir102-minor-clarifications--g1-010g1-012g1-014g1-024g1-026g1-029,specified,not_run
