case_id,issue_id,requirement_ids,given,when,then,contract,decision_status,execution_status
AT-REV17-001,FRV-001,FR-A09;FR-A08;FR-C11;FR-C12,"Requested restriction (one online applied unit, one offline not_sent unit) and two source invoices",Customer confirms simulated payment for second invoice→HQ calls restrictions.release twice→online unit acknowledges remove,"Confirmation transition sets release_requested, creates one remove Command for online unit, marks offline unit not_required. Both release calls return same Restriction without Command/version changes; after ack released. With one unpaid invoice, release gives FORBIDDEN",02-design/review-resolution-contracts.md#ir35-release-request-triggers-and-restrictionsrelease-preconditions--frv-001,proposed,not_run
AT-REV17-002,FRV-002,FR-X01;FR-A09;FR-P02;FR-C04,"Immediately after hq-restriction-manager sign-in, Session.expiresAt=now+30min","demo.advanceClock(+24h)→execute. Separately set to=2026-03-07 immediately after reset, then attempt past to after a business write",Session remains valid; expiresAt shifts+24h. Offer/Assignment expire. Past time immediately after reset succeeds; after write gives VALIDATION. Only session_expired trigger forces expiry,02-design/review-resolution-contracts.md#ir36-demo-clock-progression-and-session-lifetime--frv-002,proposed,not_run
AT-REV17-003,FRV-003,NFR-05;FR-C01;FR-C09;FR-T03,Transport UNAVAILABLE remainingCalls=3 for units.list; TIMEOUT for jobs.create; network connected=false,Open C01 / submit after entering symptoms / disconnect and reconnect while T03 displays,"C01 gives error+retry after three failures, no0/previous KPI fallback. jobs.create TIMEOUT: zero side effects, input retained, writes.getResult=not_received. During disconnect all operations give UNAVAILABLE(errors.network_disconnected), subscriptions stop with ""Updates stopped""; reconnect creates new snapshot",02-design/review-resolution-contracts.md#ir37-transport-failure-injection-and-network-disconnection--frv-003,proposed,not_run
AT-REV17-004,FRV-004,FR-C09;FR-A06;FR-T01;FR-P01,customer-a requests 2026-09-15 10:00–12:00 (Asia/Kuala_Lumpur=02:00Z–04:00Z; IR74). HQ creates with dueAt=requestedEnd-1min,jobs.create (client omits dueAt / client supplies dueAt / HQ dueAt<requestedEnd),Omission yields dueAt=2026-09-15T04:00:00.000Z (IR74/IR102). Client-supplied dueAt gives VALIDATION(fieldErrors.dueAt); HQ before requestedEnd gives VALIDATION. Use this value for overdue checks and dueAt sorting,02-design/review-resolution-contracts.md#ir38-deadline-derivation-for-customer-created-jobs--frv-004,proposed,not_run
AT-REV17-005,FRV-005,FR-A02;FR-A01;FR-C01;FR-C02,"HQ archives acceptancePatches AT-REV17-005 unit-archive-demo, with no Device/contract/job dependencies (IR102)",customer-a units.list/summaries.get/units.get; HQ units.get/admin.summary; list with unitIds=[unit-archive-demo],Excluded from customer list/KPI denominator; customer units.get NOT_FOUND; HQ units.get archived:true and CommandPanel disabled with archived reason; excluded from admin.summary.total; specified unitIds yields zero. Archiving unit-non-rto with dependencies gives CONFLICT under D05/D14,02-design/review-resolution-contracts.md#ir39-visibility-of-archived-resources--frv-005,proposed,not_run
AT-REV17-006,FRV-006,FR-A01;FR-A02,"Customer A(active/Org active), B(inactive/Org active), C(active/Org inactive)",admin.summary; create second customer for OrgA with customers.save,customerCount=1; second customer gives CONFLICT,02-design/review-resolution-contracts.md#ir40-population-for-customer-counts--frv-006,proposed,not_run
AT-REV17-007,FRV-007,FR-C07;FR-T03,now=2026-09-14T01:00:45Z; Asia/Kuala_Lumpur,Select1h/24h/7d on C07 and T03,"1h=[00:00Z,01:00Z),24h=[2026-09-13T01:00Z,01:00Z),7d=[2026-09-07T16:00Z,01:00Z). Exclude the 45-second remainder; URL restores same interval",02-design/review-resolution-contracts.md#ir41-time-series-presets-1h24h--frv-007,proposed,not_run
AT-REV17-008,FRV-008,FR-C09;FR-C12;FR-P02;FR-T08;FR-X04;NFR-03,"Job/Restriction with Offer decline reason, Assignment reassignment reason, internal costs, and HQ defer reason",jobs.get as customer/technician/contractor/HQ; customer restrictions.forInvoice; contractor members.list,"Customer: offer=null, assignment.reason=null, costs customer-only, events.actorId='masked'/reason=null, exception.reason=null. Technician/contractor: costs=[], no other-company Offer. Contractor Membership.permissions/scopes=[]. HQ sees all fields",02-design/review-resolution-contracts.md#ir42-private-fields-in-role-specific-projections--frv-008frv-009,proposed,not_run
AT-REV17-009,FRV-009,FR-C09;FR-P07;FR-X07,Job events for two internal notes and one customer note,jobs.events as customer and contractor,Customer sees only customer-note event with total=1 (other event types unchanged); contractor sees all three. Excluded rows do not appear in cursor,02-design/review-resolution-contracts.md#ir42-private-fields-in-role-specific-projections--frv-008frv-009,proposed,not_run
AT-REV17-010,FRV-010,FR-T11;FR-A04,"Unit with Capability.sensors=[temperature,power]","devices.register sensorTypes=[temperature]/[co2]/[]/[temperature,temperature]",[temperature] creates one Sensor with unit°C/stale120/boundary null;[co2] gives VALIDATION(fieldErrors.sensorTypes);[] succeeds with zero Sensors; duplicate gives VALIDATION. firmwareVersion is first candidate,02-design/review-resolution-contracts.md#ir43-sensor-creation-on-device-registration--frv-010,proposed,not_run
