Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-C01,集計範囲・欠測表示,Prepare BIZ-04;BIZ-08,02-design/client.md DD-C01,SCR-C01,alerts.list;summaries.get;telemetry.summary;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C01-N;AT-C01-E;AT-C01-B; ,OK
FR-C02,階層編集・削除規則,Prepare BIZ-07,02-design/client.md DD-C02,SCR-C02,properties.archive;properties.list;properties.save;spaces.archive;spaces.list;spaces.save;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C02-N;AT-C02-E;AT-C02-B; ,OK
FR-C03,モード・風量・応答状態,Prepare BIZ-13,02-design/client.md DD-C03,SCR-C03,commands.create;commands.get;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C03-N;AT-C03-E;AT-C03-B; ,OK
FR-C04,曜日入力・時間競合の規則,Prepare BIZ-14,02-design/client.md DD-C04,SCR-C04,automations.fire;automations.list;automations.nextRuns;automations.save;automations.simulate;commands.create;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C04-N;AT-C04-E;AT-C04-B; ,OK
FR-C05,同意取消・条件優先順,Prepare BIZ-14;BIZ-15;BIZ-17,02-design/client.md DD-C05,SCR-C04,automations.fire;automations.save;automations.simulate;commands.create;consents.get;consents.update;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C05-N;AT-C05-E;AT-C05-B; ,OK
FR-C06,比較期間・料金版・品質表示,Prepare BIZ-16;BIZ-23,02-design/client.md DD-C06,SCR-C06,baselines.list;energy.summary;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C06-N;AT-C06-E;AT-C06-B; ,OK
FR-C07,換気能力判定・欠測表示,Prepare BIZ-18;BIZ-19,02-design/client.md DD-C07,SCR-C07,commands.create;commands.get;telemetry.series;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C07-N;AT-C07-E;AT-C07-B; ,OK
FR-C08,既読と異常解消の分離,Prepare BIZ-08;BIZ-09;BIZ-17,02-design/client.md DD-C08,SCR-C08,alerts.list;notifications.list;notifications.markRead,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C08-N;AT-C08-E;AT-C08-B; ,OK
FR-C09,予約・取消・案件進捗,Prepare BIZ-12,02-design/client.md DD-C09,SCR-C09,attachments.getContent;jobs.addNote;jobs.cancel;jobs.create;jobs.get;jobs.list;reports.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,DEC-18 accepted / IR34; AT-C09-N;AT-C09-E;AT-C09-B; AT-REV16-005,OK
FR-C10,契約一覧・請求状態,Prepare BIZ-21,02-design/client.md DD-C10,SCR-C10,contracts.list;invoices.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C10-N;AT-C10-E;AT-C10-B; ,OK
FR-C11,決済状態と通知プレビュー,Prepare BIZ-22,02-design/client.md DD-C11,SCR-C11,invoices.get;notifications.preview;notifications.recipients;payments.simulate,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C11-N;AT-C11-E;AT-C11-B; ,OK
FR-C12,予告・猶予・解除保留,Prepare BIZ-21,02-design/client.md DD-C12,SCR-C11,commands.get;inquiries.create;inquiries.list;restrictions.forInvoice,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C12-N;AT-C12-E;AT-C12-B;AT-C12-R01; ,OK
FR-C13,模擬申込・償却状態・市場構想の表示,Prepare BIZ-23;BIZ-24;BIZ-25;BIZ-26,02-design/client.md DD-C13,SCR-C13,energy.summary;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-C13-N;AT-C13-E;AT-C13-B; ,OK
FR-P01,受託案件ダッシュボード,Prepare BIZ-04;BIZ-12,02-design/contractor.md DD-P01,SCR-P01,jobs.get;jobs.list;summaries.get,D01/D04/D10/DDC-03; 各DD境界条件,DEC-18 accepted / IR34; AT-P01-N;AT-P01-E;AT-P01-B; AT-REV16-002;AT-REV16-005,OK
